team,total.games,total.wins,total.losses,total.ties
Air Force,13,10,3,0
Akron,12,5,7,0
Alabama,15,14,1,0
Appalachian State,13,10,3,0
Arizona,12,3,9,0
Arizona State,12,5,7,0
Arkansas,13,7,6,0
Arkansas State,13,8,5,0
Army,13,8,5,0
Auburn,13,8,5,0
Ball State,12,4,8,0
Baylor,13,7,6,0
Boise State,13,10,3,0
Boston College,13,7,6,0
Bowling Green,12,4,8,0
Buffalo,12,2,10,0
BYU,13,9,4,0
California,12,5,7,0
Central Michigan,13,6,7,0
Charlotte,12,4,8,0
Cincinnati,12,4,8,0
Clemson,15,14,1,0
Colorado,14,10,4,0
Colorado State,13,7,6,0
Connecticut,12,3,9,0
Duke,12,4,8,0
East Carolina,12,3,9,0
Eastern Michigan,13,7,6,0
Florida,13,9,4,0
Florida Atlantic,12,3,9,0
Florida International,12,4,8,0
Florida State,13,10,3,0
Fresno State,12,1,11,0
Georgia,13,8,5,0
Georgia Southern,12,5,7,0
Georgia State,12,3,9,0
Georgia Tech,13,9,4,0
Hawai'i,14,7,7,0
Houston,13,9,4,0
Idaho,13,9,4,0
Illinois,12,3,9,0
Indiana,13,6,7,0
Iowa,13,8,5,0
Iowa State,12,3,9,0
Kansas,12,2,10,0
Kansas State,13,9,4,0
Kent State,12,3,9,0
Kentucky,13,7,6,0
Louisiana,13,6,7,0
Louisiana Monroe,12,4,8,0
Louisiana Tech,14,9,5,0
Louisville,13,9,4,0
LSU,12,8,4,0
Marshall,12,3,9,0
Maryland,13,6,7,0
Memphis,13,8,5,0
Miami,13,9,4,0
Miami (OH),13,6,7,0
Michigan,13,10,3,0
Michigan State,12,3,9,0
Middle Tennessee,13,8,5,0
Minnesota,13,9,4,0
Mississippi State,13,6,7,0
Missouri,12,4,8,0
Navy,14,9,5,0
NC State,13,7,6,0
Nebraska,13,9,4,0
Nevada,12,5,7,0
New Mexico,13,9,4,0
New Mexico State,12,3,9,0
North Carolina,13,8,5,0
Northern Illinois,12,5,7,0
North Texas,13,5,8,0
Northwestern,13,7,6,0
Notre Dame,12,4,8,0
Ohio,14,8,6,0
Ohio State,13,11,2,0
Oklahoma,13,11,2,0
Oklahoma State,13,10,3,0
Old Dominion,13,10,3,0
Ole Miss,12,5,7,0
Oregon,12,4,8,0
Oregon State,12,4,8,0
Penn State,14,11,3,0
Pittsburgh,13,8,5,0
Purdue,12,3,9,0
Rice,12,3,9,0
Rutgers,12,2,10,0
San Diego State,14,11,3,0
San José State,12,4,8,0
SMU,12,5,7,0
South Alabama,13,6,7,0
South Carolina,13,6,7,0
Southern Mississippi,13,7,6,0
South Florida,13,11,2,0
Stanford,13,10,3,0
Syracuse,12,4,8,0
TCU,13,6,7,0
Temple,14,10,4,0
Tennessee,13,9,4,0
Texas,12,5,7,0
Texas A&M,13,8,5,0
Texas State,12,2,10,0
Texas Tech,12,5,7,0
Toledo,13,9,4,0
Troy,13,10,3,0
Tulane,12,4,8,0
Tulsa,13,10,3,0
UCF,13,6,7,0
UCLA,12,4,8,0
UMass,12,2,10,0
UNLV,12,4,8,0
USC,13,10,3,0
Utah,13,9,4,0
Utah State,12,3,9,0
UTEP,12,4,8,0
UT San Antonio,13,6,7,0
Vanderbilt,13,6,7,0
Virginia,12,2,10,0
Virginia Tech,14,10,4,0
Wake Forest,13,7,6,0
Washington,14,12,2,0
Washington State,13,8,5,0
Western Kentucky,14,11,3,0
Western Michigan,14,13,1,0
West Virginia,13,10,3,0
Wisconsin,14,11,3,0
Wyoming,14,8,6,0
